WINT,Windtree Therapeutics,NASDAQ
1.32,1.33,1.38,1.30
1.31,1.33,1.37,1.31
1.33,1.36,1.39,1.27
1.50,1.40,1.54,1.39
1.38,1.37,1.44,1.31
1.34,1.40,1.40,1.31
1.37,1.32,1.37,1.30
1.35,1.43,1.51,1.31
1.39,1.52,1.74,1.36
1.55,1.45,1.55,1.40
1.42,1.43,1.51,1.39
1.49,1.40,1.49,1.35
1.38,1.40,1.44,1.35
1.43,1.36,1.45,1.35
1.36,1.31,1.41,1.31
1.30,1.23,1.34,1.23
1.24,1.25,1.37,1.19
1.27,1.27,1.39,1.24
1.30,1.33,1.40,1.30
1.35,1.30,1.39,1.30
1.32,1.36,1.39,1.25
1.50,1.46,1.52,1.43
1.47,1.45,1.50,1.41
1.44,1.39,1.50,1.38
1.41,1.41,1.50,1.40
1.45,1.38,1.45,1.36
