CWEI,Clayton Williams Energy,NASDAQ
42.27,42.23,42.60,41.62
42.31,41.20,42.32,41.03
41.27,40.88,41.35,40.68
41.11,41.33,41.49,40.83
40.51,39.68,40.51,39.00
39.66,38.48,39.95,38.36
38.21,37.80,38.60,37.29
37.84,37.40,38.05,37.13
37.05,36.91,37.40,36.60
36.92,36.58,37.11,36.21
36.55,35.52,37.15,35.32
35.87,36.58,38.08,35.87
37.57,37.50,37.91,37.01
37.45,37.51,37.74,36.79
37.35,37.13,37.67,36.94
37.22,38.90,38.90,37.22
38.45,38.46,39.19,37.81
38.16,38.57,39.16,38.16
38.08,38.99,39.00,38.00
39.16,40.29,40.61,39.16
40.18,40.71,41.44,40.18
40.32,38.31,40.43,38.04
38.50,38.59,38.89,37.74
38.94,40.46,40.98,38.94
40.34,40.34,41.47,40.12
40.77,40.16,41.14,40.03
40.27,39.70,40.27,38.72
39.84,40.03,40.77,39.12
40.19,40.24,40.97,40.15
40.18,39.46,40.18,39.10
39.08,39.72,40.37,39.08
39.76,39.92,40.63,39.34
40.00,40.38,41.45,40.00
40.67,40.47,40.86,39.83
40.42,40.48,41.04,40.00
40.09,39.53,40.09,39.06
39.60,38.77,39.66,38.55
39.16,39.16,39.70,38.55
39.25,39.72,39.98,38.58
39.43,38.53,39.81,38.52
38.60,40.00,40.70,38.60
41.22,41.54,41.74,40.67
41.60,42.67,43.69,41.08
42.91,43.95,44.79,42.71
43.49,42.40,43.89,42.01
41.94,42.04,42.46,41.50
42.35,41.67,43.08,41.40
42.07,42.74,43.00,41.72
42.47,42.20,42.50,41.80
42.16,41.99,42.59,41.52
41.81,41.74,42.20,41.43
41.80,40.79,41.98,40.50
41.54,40.81,41.54,39.71
40.83,39.66,40.88,39.01
39.57,40.96,41.16,39.10
41.05,39.81,41.09,39.48
40.76,39.85,40.81,39.28
39.92,39.82,40.23,39.18
39.25,40.59,40.71,39.25
40.71,40.22,40.71,39.84
40.30,40.04,40.70,39.61
40.03,39.85,40.03,39.02
39.95,40.03,40.40,39.23
39.51,39.25,39.70,39.00
39.72,39.60,39.87,39.08
39.40,38.88,40.13,38.67
39.43,38.92,39.44,37.97
39.26,39.37,40.09,38.75
39.47,39.21,39.47,38.52
39.38,39.17,39.94,38.75
39.39,39.08,39.90,38.91
38.99,38.94,39.36,38.64
39.27,39.02,39.27,38.40
38.76,39.27,39.47,38.72
39.28,38.91,39.67,38.53
38.98,37.52,39.31,37.09
37.95,39.20,40.00,37.60
39.46,39.31,40.17,38.77
39.94,39.43,39.94,39.12
39.71,39.96,40.25,39.31
39.99,39.69,40.25,39.41
40.53,39.60,41.00,39.34
39.30,35.67,39.65,35.51
35.68,35.93,36.62,35.30
36.14,37.24,37.58,35.51
37.17,39.12,39.38,36.96
39.57,38.24,39.57,38.23
38.05,38.65,38.90,37.92
38.76,41.00,41.16,38.17
41.12,41.74,42.12,41.03
41.96,41.80,42.26,41.44
41.84,46.09,46.50,41.47
45.67,45.47,46.50,44.03
45.49,44.00,45.95,43.63
44.27,44.54,44.90,44.11
44.22,43.95,44.35,43.32
43.98,43.50,44.08,43.27
44.05,43.68,44.05,43.29
44.00,44.22,44.94,43.69
43.88,43.92,44.47,43.75
44.15,43.73,44.22,43.63
43.65,43.33,43.80,42.73
43.38,42.65,43.38,42.10
42.39,41.40,43.39,41.01
41.24,40.19,41.75,39.71
39.50,39.30,40.19,38.78
40.00,40.40,40.87,39.23
40.33,40.14,40.44,39.31
40.23,40.87,41.82,40.23
41.01,40.88,41.23,40.52
40.43,39.51,40.43,39.51
39.31,38.43,39.31,38.07
38.77,39.48,40.00,38.50
38.94,37.79,38.94,37.55
37.98,39.18,39.74,37.51
39.73,39.93,40.97,39.35
39.86,39.12,39.86,38.47
39.43,39.62,39.70,38.48
38.61,38.61,39.25,38.13
38.74,39.06,39.68,38.44
39.04,38.00,39.28,37.39
38.11,38.59,38.80,37.82
38.41,38.60,39.67,38.03
38.22,38.00,38.52,37.50
37.99,37.73,38.18,37.15
38.19,39.39,39.72,38.19
39.18,40.38,40.45,39.05
40.47,40.75,41.28,40.22
40.90,41.28,41.44,40.41
40.89,41.59,41.88,40.70
41.69,42.18,42.21,40.71
42.20,42.64,43.39,41.95
42.54,42.46,42.88,42.12
42.03,42.24,42.87,41.47
42.69,41.81,42.69,41.71
42.22,42.62,42.97,42.22
42.70,44.10,44.36,42.70
44.30,43.44,44.30,43.10
43.37,43.19,44.48,43.14
42.73,43.08,43.59,42.43
42.87,43.91,44.22,42.75
44.53,44.97,45.18,43.93
44.38,44.31,45.83,43.84
44.24,44.72,44.99,44.22
44.22,43.63,44.82,43.15
43.63,43.61,44.35,43.18
43.43,42.05,43.80,41.41
42.62,41.36,42.62,41.21
41.46,41.60,42.32,40.80
41.65,40.82,41.80,40.56
41.40,42.62,42.65,40.60
41.94,41.91,42.70,41.49
42.33,41.81,42.52,41.65
41.97,42.75,42.89,41.75
