LBTYB,Liberty Global plc - Class B Ordinary Shares,NASDAQ
32.03,32.03,32.03,32.03
30.00,30.00,30.00,30.00
30.00,30.00,30.00,30.00
30.05,29.95,30.05,29.95
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.15,31.50,31.50,30.15
31.50,31.50,31.50,31.50
31.50,31.50,31.50,31.50
31.85,31.85,31.85,31.85
31.85,31.85,31.85,31.85
31.85,31.85,31.85,31.85
31.85,31.85,31.85,31.85
31.85,31.85,31.85,31.85
31.85,31.85,31.85,31.85
33.18,33.18,33.18,33.18
33.18,33.18,33.18,33.18
33.18,33.18,33.18,33.18
31.00,31.45,31.45,30.75
31.45,31.45,31.45,31.45
31.45,31.45,31.45,31.45
32.32,32.32,32.32,32.32
33.45,33.45,33.45,33.45
33.45,33.45,33.45,33.45
33.45,33.45,33.45,33.45
33.45,33.45,33.45,33.45
33.45,33.45,33.45,33.45
33.45,33.45,33.45,33.45
